DTS ID,Module ID,Linked Variables,Section IDs,GUI Link,Threshold Link,Title
285,,GP60/FLOW-DELIVERY,ST,N/A,N/A,Upper Sacramento River
286,,Colusa_GP_/FLOW-DELIVERY,ST,N/A,N/A,Colusa Basin
287,,GP65/FLOW-DELIVERY,ST,N/A,N/A,Feather River Watershed
288,,GP66/FLOW-DELIVERY,ST,N/A,N/A,American River Watershed
289,,GP64/FLOW-DELIVERY,ST,N/A,N/A,Lower Sacramento River
290,,CVP_TOT_STOR_DV/STORAGE,ST,N/A,N/A,Total Storage
291,,DEL_CVP_TOTAL_/DELIVERY-CVP,ST,N/A,N/A,Total Deliveries
292,,DEL_CVP_TOTAL_N_/DELIVERY-CVP,ST,N/A,N/A,NOD Deliveries
293,,DEL_CVP_TOTAL_S_/DELIVERY-CVP,ST,N/A,N/A,SOD Deliveries
294,,SHORT_CVP_TOT_DV/SHORTAGE,ST,N/A,N/A,Total Shortage
295,,,ST,N/A,N/A,NOD Shortage
296,,SWP_TOT_STOR_DV/STORAGE,ST,N/A,N/A,Total Storage
297,,,ST,N/A,N/A,Total Table A Deliveries
298,,SHORT_SWP_TA_DV/SHORTAGE,ST,N/A,N/A,Total Table A Shortage
299,,nod_mb_status_dts,ST,N/A,N/A,
300,,,ST,N/A,N/A,Reservoir Releases
301,,,ST,N/A,N/A,Local Inflow
302,,,ST,N/A,N/A,Return Flows
303,,,ST,N/A,N/A,GW pumping
304,,,ST,N/A,N/A,Net Accretion
305,,,ST,N/A,N/A,Net Loss to stream (GS)
306,,,ST,N/A,N/A,
307,,,ST,N/A,N/A,Boundary Outflow
308,,,ST,N/A,N/A,Diversion
309,,,ST,N/A,N/A,GW Recharge
310,,,ST,N/A,N/A,Conveyance Loss
311,,Delta_mass_bal_Dv,ST,N/A,N/A,Delta Mass Balance
312,,C400,ST,N/A,N/A,Sacramento R @ Hood
313,,C157,ST,N/A,N/A,Yolo Bypass
314,,C504,ST,N/A,N/A,Mokelumne R
315,,C644,ST,N/A,N/A,San Joaquin R d/s Vernalis
316,,I406,ST,N/A,N/A,Marsh Creek Inflow
317,,Calveras_DB_DV,ST,N/A,N/A,Calaveras River
318,,C406,ST,N/A,N/A,Delta Outflow
319,,D419_SWP,ST,N/A,N/A,Banks SWP
320,,D419_CVP,ST,N/A,N/A,Banks CVP
321,,D419_WTS,ST,N/A,N/A,Banks WTS
322,,D418,ST,N/A,N/A,Jones CVP
323,,C402B,ST,N/A,N/A,Diversion NBAY
324,,CCWD_DB_DV,ST,N/A,N/A,CCWD
325,,NETDICU,ST,N/A,N/A,Net-DICU
326,,D406B,ST,N/A,N/A,Diversion Antioch
327,,,ST,N/A,N/A,
328,,D419_SWP,ST,N/A,N/A,Banks SWP
329,,D419_CVP,ST,N/A,N/A,Banks CVP
330,,D418,ST,N/A,N/A,Jones CVP
331,,other_inflows_dv,ST,N/A,N/A,
332,,I860,ST,N/A,N/A,Kern River Intertie (SWP)
333,,MP_Local_Inflow_DV,ST,N/A,N/A,Local flows to MP (for CVP Deliveries)
334,,NET_SWP_SOD_REL_DV,ST,N/A,N/A,Net Storage Release (SWP SOD)
335,,NET_CVP_SL_REL_DV,ST,N/A,N/A,Net Storage Release (CVPSL)
336,,SWP_SOD_DEL_DV,ST,N/A,N/A,
337,,SWP_TA_Total_/SWP_DELIVERY,ST,N/A,N/A,Table A
338,,SWP_IN_Total/SWP_DELIVERY,ST,N/A,N/A,Article 21
339,,SWP_CO_Total/SWP_DELIVERY,ST,N/A,N/A,Article 56
340,,SWP_Loss,ST,N/A,N/A,SWP SOD Loss
341,,CVPTOTALDEL,ST,N/A,N/A,
342,,DEL_CVP_PAG_S_,ST,N/A,N/A,CVP SOD Deliveries PAG
343,,DEL_CVP_PMI_S_,ST,N/A,N/A,CVP SOD Deliveries PMI
344,,DEL_CVP_PEX_S_,ST,N/A,N/A,CVP SOD Deliveries PEX
345,,DEL_CVP_PRF_S_,ST,N/A,N/A,CVP SOD Deliveries PRF
346,,DEL_CVP_PLS_S_,ST,N/A,N/A,CVP SOD Deliveries PLS
347,,D855,ST,N/A,N/A,CVP SOD Deliveries CVC
348,,SOD_EVAP_DV,ST,N/A,N/A,
349,,SWP_TERM_EVAP_DV,ST,N/A,N/A,SWP SL & Terminal Res. Evap
350,,E11,ST,N/A,N/A,CVP SL Evaporation
351,,0,ST,N/A,N/A,Mendota Pool Overflow
352,,SOD_BALANCE_DV,ST,N/A,N/A,
353,,SOD_EXP_INF_DV,ST,N/A,N/A,SOD Exports + Other Inflow - Evap
354,,SOD_DEL_DV,ST,N/A,N/A,SOD Deliveries
355,,SWP_SOD_EXP_INF_DV,ST,N/A,N/A,SWP SOD Exports + Other Inflow - Evap
356,,SWP_SOD_DEL_DV,ST,N/A,N/A,SWP SOD Deliveries
357,,CVP_SOD_EXP_INF_DV,ST,N/A,N/A,CVP SOD Exports + Other Inflow - Evap
358,,CVPTOTALDEL,ST,N/A,N/A,CVP SOD Deliveries
359,,,ST,N/A,N/A,North of Delta Minimum GW Pumping
360,,MINGW_58,ST,N/A,N/A,Upper Sacramento River Minimum GW Pumping
361,,mingw_CB_dv,ST,N/A,N/A,Colusa Basin Minimum GW Pumping
362,,MINGW_69,ST,N/A,N/A,Feather River Watershed Minimum GW Pumping
363,,MINGW_70,ST,N/A,N/A,American River Watershed Minimum GW Pumping
364,,MINGW_65,ST,N/A,N/A,Lower Sacramento River Minimum GW Pumping
365,,,ST,N/A,N/A,
366,,,ST,N/A,N/A,IBU
367,,,ST,N/A,N/A,UWFE
368,,,ST,N/A,N/A,EXP_BAL
369,,,ST,N/A,N/A,EXP_EXC
370,,S11,ST,N/A,N/A,San Luis
371,,SHORT_FRSA_DV,ST,N/A,N/A,FRSA Contractors
372,,CVP_NOD_STOR_DV/STORAGE,ST,N/A,N/A,
373,,SHORT_CVP_TOT_DV/SHORTAGE,ST,N/A,N/A,
374,,SWP_TOT_STOR_DV,ST,N/A,N/A,
375,,delta_inflow_dv,ST,N/A,N/A,
376,,TOTAL_DELTA_OUT_DV,ST,N/A,N/A,
377,,delta_exports_dv,ST,N/A,N/A,
378,,swp_deliveries_dv,ST,N/A,N/A,
379,,delta_inf_db_dv,ST,N/A,N/A,
380,,delta_out_db_dv,ST,N/A,N/A,
381,,SWP_SOD_BAL_DV,ST,N/A,N/A,
382,,CVP_SOD_BAL_DV,ST,N/A,N/A,
383,,,ST,N/A,N/A,
384,,TRNTY_FILL_UP_DTS/DTS-STATUS,ST,N/A,N/A,
385,,TRNTY_DRAWDOWN_DTS/DTS-STATUS,ST,N/A,N/A,
386,,SHST_FILL_UP_DTS/DTS-STATUS,ST,N/A,N/A,
387,,SHST_DRAWDOWN_DTS/DTS-STATUS,ST,N/A,N/A,
388,,FLSM_FILL_UP_DTS/DTS-STATUS,ST,N/A,N/A,
389,,FLSM_DRAWDOWN_DTS/DTS-STATUS,ST,N/A,N/A,
390,,OROV_FILL_UP_DTS/DTS-STATUS,ST,N/A,N/A,
391,,OROV_DRAWDOWN_DTS/DTS-STATUS,ST,N/A,N/A,
392,,SLCVP_FILL_UP_DTS/DTS-STATUS,ST,N/A,N/A,
393,,SLCVP_DRAWDOWN_DTS/DTS-STATUS,ST,N/A,N/A,
394,,SLSWP_FILL_UP_DTS/DTS-STATUS,ST,N/A,N/A,
395,,SLSWP_DRAWDOWN_DTS/DTS-STATUS,ST,N/A,N/A,
396,,,ST,N/A,N/A,
397,,TRNTY_MIF_CHECK_DTS/DTS-STATUS,ST,N/A,N/A,
398,,SHASTA_MIF_CHECK_DTS/DTS-STATUS,ST,N/A,N/A,
399,,OROV_MIF_CHECK_DTS/DTS-STATUS,ST,N/A,N/A,
400,,FLSM_MIF_CHECK_DTS/DTS-STATUS,ST,N/A,N/A,
401,,CVPIA_B_2_CHECK_DTS/DTS-STATUS,ST,N/A,N/A,
402,,,ST,N/A,N/A,
403,,DELTA_CNDTN_DTS/DTS-STATUS,ST,N/A,N/A,
